"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_BRANCOS";"QT_VOTOS_NULOS";"QT_VOTOS_LEGENDA";"QT_VOTOS_PENDENTES";"QT_VOTOS_ANULADOS";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/01/2022";"16:42:26";"2000";2;"Eleição Ordinária";1;2000001;"Eleições Ordinárias - 2000";"01/10/2000";"M";"AC";"01120";"ACRELANDIA";"01120";"ACRELANDIA";8;11;"Prefeito";5468;15;4;5468;15;4425;1043;"N";4057;72;296;0;0;-3;"23:56:16";"01/10/2000"
"31/01/2022";"16:42:26";"2000";2;"Eleição Ordinária";1;2000001;"Eleições Ordinárias - 2000";"01/10/2000";"M";"AC";"01120";"ACRELANDIA";"01120";"ACRELANDIA";8;13;"Vereador";5468;15;4;5468;15;4425;1043;"N";3686;56;195;488;0;-3;"23:56:22";"01/10/2000"
"31/01/2022";"16:42:26";"2000";2;"Eleição Ordinária";1;2000001;"Eleições Ordinárias - 2000";"01/10/2000";"M";"AC";"01570";"ASSIS BRASIL";"01570";"ASSIS BRASIL";6;11;"Prefeito";2614;13;0;2614;13;2460;154;"N";2297;29;134;0;0;-3;"23:10:55";"01/10/2000"
"31/01/2022";"16:42:26";"2000";2;"Eleição Ordinária";1;2000001;"Eleições Ordinárias - 2000";"01/10/2000";"M";"AC";"01570";"ASSIS BRASIL";"01570";"ASSIS BRASIL";6;13;"Vereador";2614;13;0;2614;13;2460;154;"N";2017;20;111;312;0;-3;"23:11:00";"01/10/2000"
"31/01/2022";"16:42:26";"2000";2;"Eleição Ordinária";1;2000001;"Eleições Ordinárias - 2000";"01/10/2000";"M";"AC";"01058";"BRASILEIA";"01058";"BRASILEIA";6;11;"Prefeito";11384;42;0;11384;42;9340;2044;"N";8762;111;467;0;0;-3;"20:20:18";"01/10/2000"
"31/01/2022";"16:42:26";"2000";2;"Eleição Ordinária";1;2000001;"Eleições Ordinárias - 2000";"01/10/2000";"M";"AC";"01058";"BRASILEIA";"01058";"BRASILEIA";6;13;"Vereador";11384;42;0;11384;42;9340;2044;"N";7888;86;368;998;0;-3;"20:20:24";"01/10/2000"
"31/01/2022";"16:42:26";"2000";2;"Eleição Ordinária";1;2000001;"Eleições Ordinárias - 2000";"01/10/2000";"M";"AC";"01007";"BUJARI";"01007";"BUJARI";9;11;"Prefeito";3071;11;2;3071;11;2850;221;"N";2600;37;213;0;0;-3;"21:51:06";"01/10/2000"
"31/01/2022";"16:42:26";"2000";2;"Eleição Ordinária";1;2000001;"Eleições Ordinárias - 2000";"01/10/2000";"M";"AC";"01007";"BUJARI";"01007";"BUJARI";9;13;"Vereador";3071;11;2;3071;11;2850;221;"N";2322;19;116;393;0;-3;"21:51:09";"01/10/2000"
"31/01/2022";"16:42:26";"2000";2;"Eleição Ordinária";1;2000001;"Eleições Ordinárias - 2000";"01/10/2000";"M";"AC";"01015";"CAPIXABA";"01015";"CAPIXABA";8;11;"Prefeito";3209;8;0;3209;8;2555;654;"N";2330;36;189;0;0;-3;"21:51:04";"01/10/2000"
"31/01/2022";"16:42:26";"2000";2;"Eleição Ordinária";1;2000001;"Eleições Ordinárias - 2000";"01/10/2000";"M";"AC";"01015";"CAPIXABA";"01015";"CAPIXABA";8;13;"Vereador";3209;8;0;3209;8;2555;654;"N";2059;25;138;333;0;-3;"22:26:12";"01/10/2000"
