"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_BRANCOS";"QT_VOTOS_NULOS";"QT_VOTOS_LEGENDA";"QT_VOTOS_PENDENTES";"QT_VOTOS_ANULADOS";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01120";"ACRELÂNDIA";8;1;"Presidente";9143;33;5;9143;33;6999;2144;"N";6550;108;341;0;0;0;"18:51:27";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01570";"ASSIS BRASIL";6;1;"Presidente";5186;20;0;5186;20;4280;906;"N";4061;18;201;0;0;0;"19:53:20";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01058";"BRASILÉIA";6;1;"Presidente";17126;61;5;17126;61;13510;3616;"N";12816;145;549;0;0;0;"22:19:29";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01007";"BUJARI";9;1;"Presidente";6902;24;0;6902;24;5918;984;"N";5541;74;303;0;0;0;"18:15:14";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01015";"CAPIXABA";8;1;"Presidente";6941;27;3;6941;27;5700;1241;"N";5416;57;227;0;0;0;"18:51:26";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01074";"CRUZEIRO DO SUL";4;1;"Presidente";51461;182;24;51461;182;38957;12504;"N";37314;410;1233;0;0;0;"20:03:35";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01112";"EPITACIOLÂNDIA";6;1;"Presidente";10408;35;0;10408;35;8311;2097;"N";7819;116;376;0;0;0;"19:37:55";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01139";"FEIJÓ";7;1;"Presidente";18595;72;11;18595;72;14030;4565;"N";13072;101;857;0;0;0;"18:30:46";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01104";"JORDÃO";5;1;"Presidente";4311;15;2;4311;15;3264;1047;"N";3123;11;130;0;0;0;"17:49:43";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01554";"MANOEL URBANO";3;1;"Presidente";5992;17;0;5992;17;4528;1464;"N";4195;58;275;0;0;0;"18:30:50";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01040";"MARECHAL THAUMATURGO";4;1;"Presidente";8799;30;1;8799;30;6391;2408;"N";6164;19;208;0;0;0;"18:41:06";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01090";"MÂNCIO LIMA";4;1;"Presidente";10818;36;4;10818;36;8548;2270;"N";8198;70;280;0;0;0;"19:53:15";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01511";"PLÁCIDO DE CASTRO";8;1;"Presidente";12516;46;10;12516;46;9941;2575;"N";9375;113;453;0;0;0;"20:29:31";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01023";"PORTO ACRE";10;1;"Presidente";11434;37;2;11434;37;9326;2108;"N";8732;127;467;0;0;0;"21:25:29";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01066";"PORTO WALTER";4;1;"Presidente";5444;21;0;5444;21;4063;1381;"N";3879;25;159;0;0;0;"18:56:37";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01392";"RIO BRANCO";1;1;"Presidente";285;1;0;285;1;246;39;"S";244;1;1;0;0;0;"21:50:46";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01392";"RIO BRANCO";1;1;"Presidente";70459;214;23;70459;214;62108;8351;"N";59381;709;2018;0;0;0;"21:50:46";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01392";"RIO BRANCO";9;1;"Presidente";87196;244;17;87196;244;77862;9334;"N";74581;825;2456;0;0;0;"21:50:46";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01392";"RIO BRANCO";10;1;"Presidente";74280;209;15;74280;209;66344;7936;"N";63937;639;1768;0;0;0;"21:50:46";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01082";"RODRIGUES ALVES";4;1;"Presidente";9731;36;0;9731;36;7525;2206;"N";7196;45;284;0;0;0;"19:43:01";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01031";"SANTA ROSA DO PURUS";3;1;"Presidente";2783;10;0;2783;10;1927;856;"N";1763;21;143;0;0;0;"18:10:09";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01457";"SENA MADUREIRA";3;1;"Presidente";25964;80;2;25964;80;19758;6206;"N";18555;229;974;0;0;0;"19:17:18";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01538";"SENADOR GUIOMARD";8;1;"Presidente";16632;59;10;16632;59;13486;3146;"N";12898;157;431;0;0;0;"19:17:19";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01473";"TARAUACÁ";5;1;"Presidente";23055;85;15;23055;85;16992;6063;"N";15842;209;941;0;0;0;"19:27:39";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AC";"BR";"ACRE";"01490";"XAPURI";2;1;"Presidente";11344;43;19;11344;43;9004;2340;"N";8483;57;464;0;0;0;"19:27:40";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AL";"BR";"ALAGOAS";"27030";"ANADIA";4;1;"Presidente";12013;44;11;12013;44;8541;3472;"N";7274;403;864;0;0;0;"19:18:05";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AL";"BR";"ALAGOAS";"27057";"ARAPIRACA";22;1;"Presidente";80252;221;5;80252;221;67295;12957;"N";59359;2883;5053;0;0;0;"22:46:51";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AL";"BR";"ALAGOAS";"27057";"ARAPIRACA";55;1;"Presidente";48523;152;27;48523;152;41177;7346;"N";36767;1507;2903;0;0;0;"22:46:51";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AL";"BR";"ALAGOAS";"27073";"ATALAIA";6;1;"Presidente";28031;89;0;28031;89;21980;6051;"N";18928;1140;1912;0;0;0;"22:16:54";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AL";"BR";"ALAGOAS";"27090";"BARRA DE SANTO ANTÔNIO";17;1;"Presidente";9802;33;0;9802;33;8001;1801;"N";6871;476;654;0;0;0;"19:29:24";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AL";"BR";"ALAGOAS";"27111";"BARRA DE SÃO MIGUEL";18;1;"Presidente";5610;16;0;5610;16;4853;757;"N";4391;153;309;0;0;0;"18:56:23";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AL";"BR";"ALAGOAS";"27138";"BATALHA";29;1;"Presidente";11049;33;0;11049;33;8986;2063;"N";8072;180;734;0;0;0;"19:52:02";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AL";"BR";"ALAGOAS";"27170";"BELO MONTE";29;1;"Presidente";4328;14;0;4328;14;3479;849;"N";3164;68;247;0;0;0;"18:24:33";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AL";"BR";"ALAGOAS";"27154";"BELÉM";10;1;"Presidente";4457;15;7;4457;15;3565;892;"N";3081;140;344;0;0;0;"21:33:02";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AL";"BR";"ALAGOAS";"27197";"BOCA DA MATA";48;1;"Presidente";18557;55;0;18557;55;14330;4227;"N";12350;738;1242;0;0;0;"19:18:13";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AL";"BR";"ALAGOAS";"27219";"BRANQUINHA";9;1;"Presidente";7378;23;1;7378;23;5266;2112;"N";4512;254;500;0;0;0;"18:45:40";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AL";"BR";"ALAGOAS";"27235";"CACIMBINHAS";46;1;"Presidente";7260;23;0;7260;23;5717;1543;"N";5074;102;541;0;0;0;"19:57:45";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AL";"BR";"ALAGOAS";"27251";"CAJUEIRO";23;1;"Presidente";13074;41;0;13074;41;10288;2786;"N";8852;542;894;0;0;0;"19:23:44";"05/10/2014"
"28/07/2021";"11:54:22";"2014";2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AL";"BR";"ALAGOAS";"27081";"CAMPESTRE";14;1;"Presidente";4627;14;0;4627;14;3615;1012;"N";3179;134;302;0;0;0;"18:35:03";"05/10/2014"
